,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,612.712546975949,610.886373917131,609.060200858313,607.234027799495,605.407854740676,603.581681681858,601.755508623039,599.929335564221,598.103162505403,596.276989446584,594.450816387766,592.624643328948,590.798470270129,588.972297211311,587.146124152493,585.319951093674,583.493778034856,581.667604976038,579.841431917219,578.015258858401,576.189085799583,586.544396631546,596.89970746246,607.255018294423,617.610329126387,627.965639957301,638.320950789264,648.676261621228,659.031572452142,669.386883284105,679.742194116069,690.097504946983,700.452815778946,710.808126610909,721.163437441824,731.518748273787,741.87405910575,752.229369936664,762.584680768628,772.939991600591,783.295302431505,793.650613263469,804.005924095432,814.361234926346,824.71654575831,835.071856590273,845.427167421187,855.78247825315,866.137789085114,876.493099916028,886.848410747991,913.409460100712,939.970509452383,966.531558805104,993.092608157825,1019.6536575095,1046.21470686222,1072.77575621074,1099.33680556556,1125.89785492038,1152.4589042752,1179.01995361952,1205.58100297434,1232.14205232916,1270.69081261112,1309.23957289308,1347.78833317503,1386.33709345699,1424.88585373895,1463.4346140209,1501.98337430286,1540.53213458482,1579.08089486678,1617.62965514873,1656.17841543069,1694.72717571265,1733.2759359946,1771.82469627656,1810.37345655852,1848.92221684048,1887.47097712243,1926.01973740439,1964.56849767585,2003.11725795781,2041.66601823977,2080.21477852172,2118.76353880368,2157.31229908564,2195.86105936759,2234.40981964955,2272.95857993151,2311.50734021347,2350.05610049542,2388.60486077738,2427.15362105934,2465.70238134129,2504.25114162325,2542.79990190521,2581.34866218717,2619.89742246912,2658.44618275108,2743.45768721331,2830.56824116844,2923.97594360225,3013.18554705028,3107.64277423053,3210.49619938237,3316.49819877355,3422.50019816473,3531.65077179526,3650.2470681438,3792.98243366064,3940.96542290971,4055.36362027247,4193.90088680352,4338.73530181325,4489.86686530167,4649.39462676166,4811.02143771455,4990.49016935704,4725.33902246524,5118.87262727913,5545.60270549344,6009.51596759399,6504.60802206281,7065.23817570429,7724.76971716642,8466.29543757626,9279.26552541029,10151.8083133463,11042.6064505068,11956.0094101932,12847.9989998524,13838.1786147735,15012.2992286594,16223.385169546,17878.2035586428,21273.131194242,24723.3117010622,28734.4872757416,30439.0361625979,26834.8414292798,34114.543869395,35683.1167876544,38740.3778206985,34608.8153634011,36464.9780429516,37832.0867883912,37403.9684298038,33884.8031991449,35209.6892005639,33883.0096526664,32681.9801265296,32366.8545398131,34015.6643153628,34104.4414417429,34131.8895360248,35755.2719533733,36022.690119128,34826.845090343,31231.4259853555,29893.3251530633,29239.2753801811,30036.8054669638,30328.6801896793,
AFG,697.292453371518,696.095384782147,694.898316192777,693.701247603406,692.504179014036,691.307110423376,690.110041834005,688.912973244635,687.715904655264,686.518836065894,685.321767476523,684.124698887153,682.927630297782,681.730561708411,680.533493119041,679.33642452967,678.1393559403,676.94228734964,675.745218760269,674.548150170899,673.351081581528,676.536401515194,679.721721447571,682.907041379947,686.092361313613,689.27768124599,692.463001178366,695.648321112032,698.833641044409,702.018960976785,705.204280910451,708.389600842828,711.574920776494,714.76024070887,717.945560641247,721.130880574913,724.316200507289,727.501520439666,730.686840373332,733.872160305708,737.057480238085,740.163633372945,743.269786507805,746.375939641376,749.482092776236,752.588245909807,755.694399044667,758.800552179527,761.906705313098,765.012858447958,768.119011582818,773.586392158576,779.053772735623,784.52115331267,789.988533889717,795.455914466764,800.923295043811,806.390675620858,811.858056197905,817.325436774952,822.792817351999,828.260197929047,833.727578506094,839.194959083141,846.791989367175,854.389019652498,861.986049937821,869.583080223144,877.180110507178,884.777140792501,892.374171077825,899.971201363148,907.568231647181,915.165261932505,922.762292217828,930.359322503151,937.956352788474,945.553383072508,953.150413357831,960.747443643155,963.096034434787,965.444625227708,967.793216019341,970.141806812262,972.490397603894,974.838988396816,977.187579188448,979.53616998137,981.884760773002,969.370470742635,956.856180710979,944.341890679323,931.827600648956,919.3133106173,906.799020585644,894.284730553988,881.770440523621,869.256150491965,856.741860460308,844.227570429942,831.713280398285,842.029104031132,856.213361526297,892.318744241261,894.897700149473,896.187178103579,919.397781277485,901.345089920002,932.292560818543,940.029428543178,952.924208084237,941.318906497284,936.160994680861,932.292560818543,928.424126956226,928.424126956226,915.529347415167,918.108303323379,927.13464900212,919.397781277485,914.239869461061,849.765971755767,812.371111086697,882.002920608414,906.503001736426,929.713604910331,950.345252176025,862.660751296826,907.792479690531,888.450310378943,889.73978833305,985.161156936884,1074.13513577019,1112.81947439336,1092.18782712767,1056.08244441271,1132.16164370495,936.160994680861,845.89753789345,825.265890627756,778.844684279945,774.976250417627,713.081308620545,613.791506154394,549.3176084491,660.212712502205,678.265403859687,697.607573171275,716.949742482863,736.291911794451,728.555044069816,653.765322731676,798.186853591533,861.37127334272,883.29239856252,977.424289212249,1018.68758374364,1112.81947439336,1120.556342118,,,,,,,
AGO,1059.00179505065,1064.88513835648,1070.76848166232,1076.65182496816,1082.53516827399,1088.41851157983,1094.30185488567,1100.1851981915,1106.06854149734,1111.95188480318,1117.83522810901,1123.71857141485,1129.60191472069,1135.48525802652,1141.36860133236,1147.2519446382,1153.13528794404,1159.01863124987,1164.90197455571,1170.78531786155,1176.66866116738,1187.64819934956,1198.62773753174,1209.60727571392,1220.5868138961,1231.56635207828,1242.54589025864,1253.52542844082,1264.504966623,1275.48450480518,1286.46404298735,1297.44358116953,1308.42311935171,1319.40265753389,1330.38219571607,1341.36173389825,1352.34127208043,1363.32081026079,1374.30034844297,1385.27988662515,1396.25942480732,1407.2389629895,1418.21850117168,1429.19803935386,1440.17757753604,1451.15711571822,1462.1366539004,1473.11619208076,1484.09573026294,1495.07526844512,1506.0548066273,1517.03434480947,1528.01388299165,1538.99342117383,1549.97295935601,1560.95249753819,1571.93203572037,1582.91157390255,1593.89111208291,1604.87065026509,1615.85018844727,1626.82972662944,1637.80926481162,1648.7888029938,1655.37122259971,1661.9793888708,1668.61339974114,1675.27335350432,1681.95934880984,1688.67148466857,1695.40986045272,1702.17457589765,1708.96573110375,1715.78342653272,1722.62776301854,1729.49884175653,1736.39676431606,1743.32163263515,1750.27354902041,1757.25261615616,1764.25893709714,1771.29261527579,1778.35375449682,1785.44245894806,1792.55883319503,1799.70298217916,1806.87501123226,1814.07502606021,1821.30313275749,1828.55943780717,1835.84404807545,1843.15707080625,1850.49861367926,1857.86878468291,1865.26769225954,1872.69544525101,1880.15215286234,1887.63792469804,1895.15287078026,1902.69710151248,1910.27072769767,1953.85104848164,1999.24721596495,2044.64338344826,1959.29858857964,2084.59201083357,2015.58983625894,2173.56849910086,2253.46575387149,2224.41220668217,2275.25591426347,2534.921992268,2424.15534360873,2505.86844507869,2741.9285159919,2898.09133213448,3014.30552089175,3135.96724974702,3036.09568128374,3070.59676857106,3210.41696441965,3333.46463246742,3269.07685980353,3456.65763439875,3490.42729492945,3214.31712104509,2968.67140284336,2927.2124197495,2701.08054018559,2664.7191296292,2519.7685884319,2415.92957189264,2351.67267721863,2358.57208744098,2560.44623139735,2445.64996701253,2405.62114845187,2683.83359061513,2593.54550512109,2583.31307161395,2642.63153925108,2739.75816315085,2788.50006356273,1903.22183398553,2128.58734217139,2391.98200753938,2612.37562963127,2812.38621028519,2334.45983568797,2950.40432925103,2318.19924842419,2135.85420196169,2500.04974866818,2478.36924559319,2664.47553174189,3210.82254140498,3792.0034870208,4277.5851712549,4837.12045813485,4103.50335001966,5128.30185400184,5415.12202020019,,,,
ALB,764.365784241498,768.060072265737,771.754360291856,775.448648316095,779.142936342214,782.837224366453,786.531512392572,790.225800416812,793.920088441051,797.61437646717,801.308664491409,805.002952517528,808.697240541767,812.391528567886,816.085816592126,819.780104618244,823.474392642484,827.168680668603,830.862968692842,834.557256718961,838.2515447432,852.535651783667,866.819758824134,881.103865864601,895.387972905068,909.672079945536,923.956186986003,938.24029402647,952.524401066937,966.808508107404,981.092615147871,995.376722188338,1009.66082922881,1023.94493626927,1038.22904330974,1052.51315035021,1066.79725739067,1081.08136443114,1095.36547147161,1109.64957851207,1123.93368555254,1140.28522913834,1156.63677272414,1172.98831630994,1189.33985989573,1205.69140348153,1222.04294706733,1238.39449065313,1254.74603423892,1271.09757782472,1287.44912141052,1305.3042552111,1323.15938901169,1341.01452281227,1358.86965661286,1376.72479041344,1394.57992421402,1412.43505801461,1430.29019181519,1448.14532561578,1466.00045941636,1485.42183302339,1504.84320663229,1524.26458023932,1537.77339857528,1551.28221691125,1564.79103524722,1578.29985358319,1591.80867191916,1605.31749025513,1618.82630859109,1632.33512692706,1645.84394526303,1659.352763599,1672.86158193497,1686.37040027093,1699.8792186069,1713.38803694287,1726.89685527884,1740.40567361481,1747.11812993001,1753.83058624709,1760.5430425623,1767.25549887938,1773.96795519458,1780.68041151166,1787.39286782687,1794.10532414207,1800.81778045915,1807.53023677436,1814.24269309144,1820.95514940664,1827.66760572373,1834.38006203893,1841.09251835413,1847.80497467122,1854.51743098642,1861.2298873035,1867.94234361871,1874.65479993579,1881.36725625099,1964.06471806422,1965.94420583271,2046.76217987745,2105.02630070041,2219.67505457785,2242.22890779964,2385.06997820431,2492.20078100781,2595.57260827435,2727.13675206812,2749.69060528991,2839.90601817707,2937.63938213817,3037.25223386774,3148.14201220821,3266.5497416226,3390.59593434245,3512.76263929381,3631.17036870821,3766.49348803895,3822.40077716286,3881.9376943904,3944.13184649312,4009.18934751962,4079.13012677852,4148.9057397255,4220.75749264561,4305.40164220874,4374.20935360955,4452.97657624565,4581.17436835076,4603.81915342498,4605.66728758738,4393.63812385766,4342.99787196227,4486.33603113741,4334.72339437242,4122.09393019212,4470.44862527063,4530.9899026116,2539.60689800392,1920.0580091785,2486.96724163974,3192.81193101258,3524.77218037253,4160.0438601793,3755.41589923856,3772.92560598086,4349.06935720737,4466.58535792368,4616.33825075681,4638.37872716907,4909.1690228638,5217.9195930635,5398.19865900917,5797.90113641008,6163.33924977088,6821.47813621657,7255.03416773864,7357.16536537492,7401.10936553557,,,,
ARE,4252.48800791367,4269.2019571797,4285.91590644573,4302.62985571176,4319.34380497778,4336.05775424381,4352.77170350984,4369.48565277587,4386.19960204189,4402.91355130792,4419.62750057395,4436.34144983998,4453.055399106,4469.76934837203,4486.48329763806,4503.19724690409,4519.91119617011,4536.62514543614,4553.33909470217,4570.05304396819,4586.76699323422,4628.4554340633,4670.14387489238,4711.83231572145,4753.52075655053,4795.20919737961,4836.89763820868,4878.58607903776,4920.27451986046,4961.96296068954,5003.65140151861,5045.33984234769,5087.02828317677,5128.71672400584,5170.40516483492,5212.093605664,5253.78204649308,5295.47048732215,5337.15892815123,5378.84736898031,5420.53580980938,5462.22425063846,5503.91269146116,5545.60113229024,5587.28957311931,5628.97801394839,5670.66645477747,5712.35489560654,5754.04333643562,5795.7317772647,5837.42021809378,5879.10865892285,5920.79709975193,5962.48554058101,6004.17398141008,6045.86242223916,6087.55086306186,6129.23930389094,6170.92774472001,6212.61618554909,6254.30462637817,6295.99306720724,6337.68150803632,6379.3699488654,6477.2191145979,6575.06828033041,6672.91744612671,6770.76661185921,6868.61577759172,6966.46494332423,7064.31410905673,7162.16327478924,7260.01244058554,7357.86160631804,7455.71077205055,7553.55993778305,7651.40910351556,7749.25826924806,7847.10743504436,7944.95660077687,8042.80576650937,8140.65493224188,8238.50409797439,8336.35326370689,8434.20242950319,8532.05159523569,8629.9007609682,8727.74992670071,8825.59909243321,8923.44825816572,17274.1608212575,25624.8733843493,33975.5859474411,42326.2985105329,50677.0110736247,59027.7236367165,67378.4361998083,75729.1487629002,84079.861325992,92430.5738890838,100781.286452176,106592.892475592,110018.614138133,117495.235718203,126847.39206324,125565.138703518,129992.42144803,129386.381302888,129960.524598286,136684.38052439,143108.406062897,147873.7954147,154699.721259986,159643.732970357,163796.702807068,166909.835342114,168944.854355802,169755.034339308,168249.503031376,162642.036846323,171255.298938855,171542.052290587,159420.795380032,156676.761427959,150326.439965898,150252.642725525,153396.757307346,155261.697762627,125215.540273912,133850.594186627,149540.579261481,129972.796086552,111633.04201417,100838.021410148,100420.218323086,88384.9901161095,67401.3577560986,64441.0095833165,58808.7707505861,63200.9057720136,72546.3018582929,69606.5610869424,68837.260575151,54499.6978450743,54186.7560129545,57674.1701285981,59591.6322455645,61202.3701721896,53269.2423736188,57048.8627386709,70173.7035934988,63034.1379801191,61597.2246193597,62180.623989511,61554.7640552271,61785.1337331152,62437.1446211802,58178.8321361664,55318.4138803965,41823.6330749852,39540.2194202229,43668.4582840818,43654.0685311079,47217.3793769366,45074.9919593639,
ARG,539.324200386592,543.807790861428,548.291381336265,552.774971811101,557.258562285938,561.742152760774,566.225743235611,570.709333710447,575.192924185284,579.676514660121,584.160105134957,589.031698631655,593.903292128352,598.77488562505,603.646479121747,608.518072618444,613.389666115142,618.261259611839,623.132853108537,628.004446605234,632.876040101931,625.965689361347,663.812166771082,698.321263188981,659.886100071531,704.872156380557,706.16549978676,762.641495190952,708.321072130432,720.392277254992,691.507607849794,687.196463162452,840.673214031857,912.238215841749,942.847343121883,1055.79933393027,1020.01683302532,1038.98586964963,1141.15999873965,1159.69792089523,1041.57255646203,982.078759776703,1149.78228811434,1192.46262051903,1343.78379904477,1456.30467538442,1545.97648488115,1217.03614523689,1282.13443001577,1463.6336213529,1239.45409761107,1241.60966995474,1171.33801155105,1289.89449045298,1375.68626973111,1499.84723672658,1516.66070100722,1491.22494735189,1576.58561216128,1594.69241984812,1647.71949950244,1614.95479987863,1683.07088593865,1636.94163778408,1423.53997576061,1398.53533657402,1332.57482285768,1202.80936776866,1400.25979444896,1425.69554810428,1497.26054991417,1496.39832097671,1567.53220831786,1680.48419912625,1748.16917071753,1689.53760296967,1721.87118812474,1791.71173205969,1849.91218533882,1882.67688496263,1758.94703243589,1600.29690794167,1518.38515888215,1561.06549128685,1657.63513228333,1702.90215150043,1686.51980168853,1778.34718352893,1755.49811668601,1788.26281630982,1793.86730440336,1855.51667343237,1846.89438405768,1802.92070824678,1974.07315233429,1877.93462580655,2011.14899664544,2193.94153138878,2264.21318979247,2175.83472370194,2149.96785557788,2213.46195323206,1964.9580984529,2000.17156834185,2052.02627955529,2202.6423671047,2219.30210192121,2281.49788613458,2408.25669380603,2255.75111881212,2391.24093271992,2459.75117757636,2309.7108329996,2263.82458900059,2388.64047353836,2693.91176828063,2634.20559604376,2713.60281666626,2755.77597892754,2954.02576843626,2962.78458744184,3073.71880752174,3087.4430632475,3196.39283232489,3266.07681157601,3144.74747400477,3084.37137966526,3166.09884105376,3022.32401577394,3253.16479260393,3385.29354495959,3315.66808445799,3309.54255422043,3570.98432547463,3745.20542492623,3535.97378405785,3988.84584877263,4217.40098968976,4393.26476175048,4244.06301929654,4619.84383322179,5431.80002153892,6333.61083637301,7201.32435417714,8353.80220690364,9131.87692295775,11763.914881617,12022.2572051032,11901.2093021428,10979.0045868714,10602.4323483744,9806.93528217005,9131.29668080645,9527.74801413775,10001.7850120308,10589.3728820123,11450.7073879179,12328.3091300446,13206.0703301365,13156.9973718545,14211.0163851786,15432.9946052896,,,,
ARM,499.327725668016,501.741047242318,504.154368815837,506.567690390139,508.98101196444,511.39433353796,513.807655112262,516.220976686563,518.634298260083,521.047619834385,523.460941407904,525.874262982206,528.287584556507,530.700906130027,533.114227704329,535.527549277848,537.94087085215,540.354192426451,542.767513999971,545.180835574273,547.594157148574,556.873953200696,566.153749252817,575.433545305721,584.713341357843,593.993137409964,603.272933462868,612.552729514989,621.832525567111,631.112321620014,640.392117672136,649.67191372504,658.951709777161,668.231505829283,677.511301882186,686.791097934308,660.589819053261,771.746759759857,742.369568287215,690.760988674192,687.585076082598,629.624671285604,689.967010525903,781.274497534641,888.461547504481,822.561361223026,905.929066754342,890.843481946222,913.868848237239,970.24129673609,949.597864886814,972.623231177831,1057.57889300103,984.532903394356,1088.54404077495,963.8894715529,921.014651562462,884.491656763033,966.271405994641,1003.58837894392,1070.28254336741,989.296772285658,1068.69458707553,1122.68510113264,1071.87049966712,1103.62962558307,980.563012660728,861.466290472016,527.201490206283,454.949478747113,456.537435042911,417.632505796267,485.120648367263,558.960616122231,707.434529779674,884.491656763033,993.266663027106,1034.55352671784,1087.75006262509,1100.45371299147,1149.68035815728,1160.79605223177,1142.53455483206,1185.40937481468,1294.18438107875,1479.97526769095,1580.81049247213,1711.81688687736,1707.05301798606,1776.12911685129,1702.28914910258,1671.7209904075,1641.15283171242,1610.58467301735,1580.01651432227,1549.44835562719,1518.88019693212,1687.99754243649,1907.13551125652,2082.60468194409,2255.69191818991,2227.90268300759,2331.91382038818,2392.25615962848,2466.09612737719,2630.44960399808,2831.3260754184,2839.26585689348,2998.85546462307,2913.10582465001,3132.24379347004,3253.7224501005,3287.06953230833,3164.00291938599,3524.4689985359,3679.29473737419,3814.27102251305,3940.5135480348,4130.27432538063,4148.53582278035,4426.42817454879,4499.47416415547,4480.4186886059,4810.71359813175,4862.48125627708,4789.68908792727,4926.02693664435,4954.56948199292,4992.94401236379,4885.39492568066,4810.73651749112,4774.84112767611,4810.60303774412,4880.46164393637,4855.44988241376,4814.00836825475,4926.63311456026,4905.77647825741,4928.30735212657,4934.84989683048,3895.47079773436,4442.61972028595,2848.72849464411,2297.29649915603,2383.72877485534,2381.24968392947,2552.34060498718,2415.91352012713,2460.01687239133,2478.25550990067,2580.80753426297,2815.93194121211,3155.89187834667,3556.55777005568,3905.95887544276,4396.0856193741,4895.80748545366,5507.1012968576,5682.98342678365,4877.57448065287,5045.36973407314,5273.5073031537,,,,
ATG,510.12345432523,508.603045263006,507.082636200783,505.56222713856,504.041818076337,502.521409014114,501.000999951891,499.480590889667,497.960181827444,496.439772765221,494.919363702998,493.398954640775,491.878545578551,490.358136516328,488.837727454105,487.317318391882,485.796909329659,484.276500267435,482.756091205212,481.235682142989,479.715273080766,488.336749755733,496.958226429826,505.579703104793,514.201179779759,522.822656453852,531.444133128819,540.065609803786,548.687086477879,557.308563152846,565.930039827813,574.551516501906,583.172993176873,591.794469851839,600.415946525933,609.037423200899,617.658899875866,626.280376549959,634.901853224926,643.523329899893,652.144806573986,660.766283248953,669.38775992392,678.009236598013,686.63071327298,695.252189947946,703.87366662204,712.495143297006,721.116619971973,729.738096646066,738.359573321033,760.473392130826,782.587210939745,804.701029749537,826.81484855933,848.928667368249,871.042486178042,893.15630498434,915.27012379588,937.38394260742,959.49776141896,981.611580221763,1003.7253990333,1025.83921784484,1057.93359366927,1090.0279694937,1122.12234531812,1154.21672114255,1186.31109696697,1218.4054727914,1250.49984861582,1282.59422444025,1314.68860026467,1346.7829760891,1378.87735191353,1410.97172773795,1443.06610356238,1475.1604793868,1507.25485521123,1539.34923103565,1571.44360686008,1603.53798268451,1635.63235850019,1667.72673432462,1699.82111014904,1731.91548597347,1764.0098617979,1796.10423762232,1828.19861344675,1860.29298927117,1892.3873650956,1924.48174092002,1956.57611674445,1988.67049256887,2020.7648683933,2052.85924421773,2084.95362004215,2117.04799586658,2149.142371691,2181.23674751543,2213.33112333985,2284.10878658128,2356.63404644595,2434.40209618035,2508.67495266827,2587.31680071429,2672.9490352533,2761.20266472718,2849.45629420105,2940.33131860979,3039.07052782314,3157.9070982038,3281.11266014258,3376.35667610943,3491.69805324361,3612.28222024752,3738.10917712116,3870.92652048778,4005.49146047765,4154.9109717651,4323.55404590825,4581.14591467197,4853.06443614861,5208.09536467538,5341.03184335874,4982.21047636893,4530.6939523528,4849.85528674801,4887.73110303865,5640.00240246145,5735.03112184599,5919.96623392716,6182.80552952133,7183.18479140468,7365.4250983107,7927.68020669417,8651.20261888645,9213.68209269456,10842.1807900188,11443.9171078826,12019.7878877111,11981.8351189516,12182.5069832744,12765.6042526499,13111.7840342141,12149.4087700952,12381.4601099517,12721.9580986876,13157.5367813532,13424.3719592066,13379.6362573803,13267.5834910669,13739.0700012887,13606.7407574328,14031.4002013908,14025.5292029381,14740.1296168535,16079.392480054,16498.5415688017,14940.192804193,13331.0331108739,12897.1592462505,,,,
AUS,2896.33526286195,3437.47334488527,4031.40538613037,4414.16159048833,3865.69101412865,3669.18016591422,4477.22104178102,3950.74794843042,3368.54789812349,4349.63564032837,4244.0477218848,4180.98827059211,4018.20689632493,4003.54190765221,4246.98071961934,4050.46987140491,4169.25627965393,4559.34497834825,4628.27042511003,4537.34749533917,4799.85079258083,4837.9797631299,5210.47047541696,5607.89166844764,5624.02315598763,6068.372312771,5876.26096115839,5918.78942830927,6272.21565532179,6166.62773687822,6283.94764625997,6533.25245369619,5958.38489772561,6562.58243104162,6311.81112473813,6484.85799107622,6348.47359641993,6792.82275320331,6605.11089819251,6961.47012293957,6537.651950298,6842.68371469055,5858.66297475113,5437.7777998441,5522.83473414587,5113.68155017702,5404.04832589685,5015.4261260698,5706.14709255485,5631.35565032399,5885.05995436202,5629.88915145671,5606.42516958036,5977.44938300015,6298.61263493269,6279.54814965815,6609.51039479432,6769.35877132696,6882.27918410689,7304.63085788119,7640.45909848645,7485.01021855563,7476.211225352,7562.73465852104,7372.0898057757,7181.44495303035,7153.58147455219,7025.99607309954,6748.82778718515,6916.00865805415,6989.33360141774,7201.97593717216,7426.35026386476,7614.06211887556,7944.02436401173,8143.4682099607,8172.79818730614,8130.26972015526,7995.35182436624,7718.18353845186,6904.27666711597,6385.13606810173,6693.10083022882,7100.7875153304,7420.48426839567,7798.84097615181,8089.20775187164,8426.50249134417,8631.81233276223,8573.15237807136,9042.43201559836,9954.59431104146,11006.0739988754,11296.4407745952,10796.3646608555,10143.7726649195,9671.56002965799,9772.74845149975,10217.0976082831,10613.0523024465,11719.0691973933,10591.0262146158,10242.7141844614,11101.1453893206,11535.523818905,11672.2674178364,11683.5728614043,11423.3943159121,11907.9112976415,12508.0116731732,12371.2670384164,12441.9483019804,12908.6575201722,13752.3173948416,14064.4191620828,14032.0712002089,14679.1883322454,14997.9138637069,15878.0167295037,16706.9684716296,16856.9252567612,17072.1557526047,17594.7028646068,18767.5918142393,17962.5768838998,17776.5308452395,18280.170443988,18200.1869741188,18946.0312255621,19409.6937958796,19826.1939665469,20530.7052392325,19737.262932274,20601.7157510147,21131.7995324618,21413.1547648862,21496.5684645862,22822.9590984747,24139.2708411665,24781.4666254096,24194.0248195018,23958.2431831446,24640.6957620907,25420.1853930971,26558.2012940875,27645.1077456219,28600.8993382347,29682.2919627168,30662.1825880051,31880.7989953923,32010.76637033,32857.9518473353,33532.2148468192,34560.1897821183,35202.730978219,35836.3042259375,36407.9557777211,36890.7850468476,36549.4184504777,36421.8426831885,37955.0695057172,38917.0598412827,,,,
AUT,2157.35106783916,2174.08688218361,2190.82269652806,2207.55851087251,2224.29432521695,2241.0301395614,2257.76595390585,2274.5017682503,2291.23758259475,2307.9733969392,2324.70921128365,2335.82283799676,2346.93646470987,2358.05009142298,2369.16371813609,2380.2773448492,2391.39097156231,2402.50459827543,2413.61822498854,2424.73185170165,2435.84547841476,2587.51379591133,2583.59133942435,2501.21975319776,2590.12876690265,2579.66888293737,2614.97099132019,2680.3452661032,2745.7195408862,2703.88000502508,2718.26234547734,2804.5563881909,2798.0189607126,2888.23545991315,2939.2273942439,2896.08037288711,2965.3771041571,3143.19513156687,3110.50799417537,3055.59360335764,3194.18706589761,3276.5586521242,3314.47573149834,3301.40087654174,3458.29913602095,3514.52101233434,3531.51832377792,3569.43540315206,3732.87109010957,3773.40314047504,3768.1731984924,3744.63845957051,3850.54478471898,3845.31484273634,3864.92712517124,4040.1301815897,4152.57393421646,4364.3865845134,4340.85184559152,4283.32248378247,4301.62728072172,4399.68869289622,4582.73666228864,4530.43724246223,3760.32828551843,3468.75901998623,3436.07188259473,3381.15749177701,3340.62544141154,2953.60973469616,3153.65501553215,3464.83656349925,3761.6357710141,3715.87377866599,4135.57662277288,4402.30366388754,4462.44799668791,4582.73666228864,4781.47445762897,4836.38884844669,4688.6429874371,4299.01230973039,3844.00735724068,3704.10640920505,3728.94863362259,3800.8603358839,3915.91905950199,4126.42422430326,4653.34087905428,5355.46059022375,5176.33507731832,5513.66633519862,5207.71472921416,5314.92853985829,5428.67977798072,2255.41248001366,2557.44162951115,2832.01358359977,3613.8899100045,4305.5497372087,4845.54124691632,5024.66388046918,5260.00677624079,5514.06351996803,5878.78423448189,6461.4120929658,6972.05944290533,7316.42280119893,7634.24969607598,7904.54995359907,8465.82569147817,8912.97130985623,9118.15065005209,9469.92939846378,9877.02597495611,10151.2651499688,10589.5815564767,10836.8409440889,11275.4348824337,11781.0423891663,12454.6743845491,13035.0258214785,13824.5613995753,14567.3441353565,14855.0529346104,14913.3700784113,15333.4783615705,15958.1822080664,15963.5576707042,16601.9523986538,16690.1623361097,16525.8334488722,16656.7061148103,17024.0913606863,17001.6347673011,17332.6790291471,18172.1150678664,18927.3485583055,20043.3455302005,21271.6878647984,22627.9520026887,23873.6324218283,24703.5726522208,25114.6559146643,26322.771276967,27680.2960769059,28192.7425964115,29172.5817102389,30834.9738820281,32023.2998283967,33117.5094119564,32374.8783974085,32951.5525928983,32821.3985396291,33568.3184752454,33467.1863376431,34943.5679907963,36119.4525175928,36701.7908052525,35678.8835217385,36903.0162882772,37594.5891086738,,,,
