ISO,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,2720,2758,2796,2834,2872,2910,2948,2986,3024,3062,3100,3170,3240,3310,3380,3450,3520,3590,3660,3730,3800,4040,4280,4520,4760,5000,5240,5480,5720,5960,6200,6326,6451,6577,6703,6829,6954,7080,7206,7331,7457,7671,7886,8100,8314,8529,8743,8957,9171,9386,9600,9582,9564,9546,9528,9510,9492,9474,9456,9438,9420,9338,9256,9174,9092,9010,8928,8846,8764,8682,8600,9095,9589,10084,10578,11073,11567,12062,12556,13051,13545,15231,16916,18602,20287,21973,23658,25343,27029,28714,30400,31166,31933,32700,33466,34233,34999,35766,36533,37299,38066,39180,40294,41408,42522,43636,44749,45863,46977,48091,49205,49962,50718,51475,52231,52988,54203,55419,56634,57850,59065,59438,59849,60239,60525,60655,60589,60366,60106,59978,60096,60567,61344,62204,62831,63028,62644,61835,61077,61032,62148,64623,68235,72498,76700,80326,83195,85447,87276,89004,90858,92894,94995,97015,98742,100031,100830,101218,101342,101416,101597,101936,102393,102921,103441,
AFG,3775825,3796800,3817774,3838749,3859724,3880698,3901673,3922648,3943623,3964597,3985572,4007714,4029857,4051999,4074142,4096284,4118426,4140569,4162711,4184854,4206996,4236977,4266958,4296940,4326921,4356902,4386883,4416864,4446846,4476827,4506808,4544362,4581916,4619471,4657025,4694579,4732133,4769687,4807242,4844796,4882350,4923038,4963727,5004415,5045103,5085792,5126480,5167168,5207856,5248545,5289233,5333310,5377388,5421465,5465542,5509620,5553697,5597774,5641851,5685929,5730006,5790543,5851079,5911616,5972152,6032689,6093226,6153762,6214299,6274835,6335372,6395907,6456442,6516977,6577512,6638047,6698582,6759117,6819652,6880187,6940722,7001260,7061798,7122336,7182874,7243412,7303950,7364488,7425026,7485564,7546102,7606636,7667170,7727704,7788238,7848772,7909306,7969840,8030374,8090908,8151442,8297932,8444422,8590912,8737402,8883892,8906073,8928253,8950433,8972613,8994793,9164945,9343772,9531555,9728645,9935358,10148841,10368600,10599790,10849510,11121097,11412821,11716896,12022514,12315553,12582954,12831361,13056499,13222547,13283279,13211412,12996923,12667001,12279095,11912510,11630498,11438949,11337932,11375768,11608351,12067570,12789374,13745630,14824371,15869967,16772522,17481800,18034130,18511480,19038420,19701940,20531160,21487079,22507368,23499850,24399948,25183615,25877544,26528741,27207291,27962207,28809167,29726803,30682500,31627506,32526562
AGO,1423179,1428036,1432893,1437750,1442607,1447464,1452320,1457177,1462034,1466891,1471748,1477350,1482951,1488552,1494154,1499756,1505357,1510958,1516560,1522162,1527763,1534337,1540910,1547484,1554058,1560632,1567205,1573779,1580353,1586926,1593500,1601383,1609266,1617149,1625032,1632914,1640797,1648680,1656563,1664446,1672329,1682062,1691796,1701530,1711263,1720996,1730730,1740464,1750197,1759930,1769664,1782170,1794675,1807180,1819686,1832192,1844697,1857202,1869708,1882214,1894719,1911756,1928793,1945830,1962867,1979904,1996940,2013977,2031014,2048051,2065088,2090613,2116137,2141662,2167186,2192711,2218236,2243760,2269285,2294809,2320334,2366184,2412035,2457885,2503736,2549586,2595436,2641287,2687137,2732988,2778838,2915705,3052573,3189440,3326308,3463175,3600042,3736910,3873777,4010645,4147512,4233925,4320338,4406752,4493165,4579578,4665991,4752404,4838818,4925231,5011644,5103113,5194583,5286052,5377522,5468991,5635387,5801782,5968178,6134573,6300969,6437645,6587647,6750215,6923749,7107334,7299508,7501320,7717139,7952882,8211950,8497950,8807511,9128655,9444918,9745209,10023700,10285712,10544904,10820992,11127870,11472173,11848971,12246786,12648483,13042666,13424813,13801868,14187710,14601983,15058638,15562791,16109696,16691395,17295500,17912942,18541467,19183907,19842251,20520103,21219954,21942296,22685632,23448202,24227524,
ALB,500000,505150,510300,515450,520600,525750,530900,536050,541200,546350,551500,556650,561800,566950,572100,577250,582400,587550,592700,597850,603000,609150,615300,621450,627600,633750,639900,646050,652200,658350,664500,670650,676800,682950,689100,695250,701400,707550,713700,719850,726000,733400,740800,748200,755600,763000,770400,777800,785200,792600,800000,807400,814800,822200,829600,837000,844400,851800,859200,866600,874000,879800,885600,891400,897200,903000,908800,914600,920400,926200,932000,935931,939863,943795,947726,951658,955589,959521,963452,967384,971316,980383,989451,998519,1007587,1016655,1025723,1034790,1043858,1052926,1061994,1077295,1092596,1107896,1123197,1138498,1153799,1169100,1184400,1199701,1215002,1254558,1294115,1333671,1373228,1412784,1452340,1491897,1531453,1571010,1610566,1663069,1715573,1768076,1820580,1873083,1928587,1984091,2039594,2095098,2150602,2202040,2253842,2305999,2358467,2411229,2464338,2517869,2571845,2626290,2681245,2735329,2788315,2842620,2901590,2966799,3041003,3121336,3197064,3253659,3281453,3275438,3240613,3189623,3140634,3106727,3092034,3092471,3102898,3114851,3121965,3124093,3123112,3117045,3103758,3082172,3050741,3010849,2968026,2929886,2901883,2886010,2880667,2883281,2889676,
ARE,44725,44954,45183,45413,45642,45871,46101,46330,46559,46789,47018,47266,47513,47761,48008,48255,48503,48750,48998,49245,49493,49753,50014,50274,50535,50795,51056,51316,51577,51837,52098,52372,52646,52920,53194,53469,53743,54017,54291,54565,54840,55128,55417,55706,55994,56283,56571,56860,57149,57437,57726,58030,58334,58637,58941,59245,59549,59853,60157,60460,60764,60974,61183,61393,61602,61812,62021,62231,62440,62650,62859,63076,63293,63510,63726,63943,64160,64377,64594,64810,65027,65251,65476,65700,65924,66148,66372,66597,66821,67045,67269,67501,67733,67965,68197,68429,68661,68893,69125,69357,69589,71654,73718,75783,77847,79912,81976,84041,86105,88170,90234,104386,118538,132690,146842,160994,175882,190770,205658,220546,235434,275160,324069,382823,451948,531265,622051,722849,827394,927303,1016789,1093108,1158477,1218223,1280278,1350433,1430548,1518991,1613904,1712117,1811458,1913190,2019014,2127863,2238281,2350192,2467726,2595220,2733770,2884188,3050128,3217865,3394060,3625798,3975945,4481976,5171255,6010100,6900142,7705423,8329453,8734722,8952542,9039978,9086139,
ARG,1111637,1142516,1173395,1204274,1235153,1266032,1296912,1327791,1358670,1389549,1420428,1467775,1515121,1562468,1609814,1657161,1704508,1751854,1799201,1846547,1893894,1976385,2058876,2141367,2223858,2306348,2388839,2471330,2553821,2636312,2718803,2801294,2883786,2966278,3048769,3131260,3213752,3296244,3378735,3461226,3543718,3688258,3832797,3977336,4121876,4266416,4410955,4555494,4700034,4844574,4989113,5195744,5402375,5609007,5815638,6022269,6228900,6435531,6642163,6848794,7055425,7282792,7510160,7737527,7964895,8192262,8419629,8646997,8874364,9101732,9329099,9570277,9811456,10052634,10293813,10534991,10776169,11017348,11258526,11499705,11740883,11982071,12223258,12464446,12705633,12946821,13188009,13429196,13670384,13911571,14152759,14452523,14752287,15052051,15351815,15651580,15952869,16254159,16555449,16856739,17158029,17525200,17884976,18238994,18588894,18936311,19280156,19619336,19955487,20290249,20625257,20959981,21293331,21626101,21959090,22293096,22621748,22944513,23270948,23610612,23973062,24366442,24782950,25213388,25644505,26066975,26477153,26878567,27277742,27684530,28105889,28543366,28993989,29454739,29920907,30388781,30857242,31326473,31795515,32263559,32729740,33193920,33655149,34110912,34558114,34994818,35419683,35833965,36241578,36648054,37057453,37471535,37889443,38309475,38728778,39145491,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026,
ARM,666330,669837,673343,676850,680357,683864,687371,690878,694385,697892,701399,705091,708782,712474,716165,719857,723549,727240,730932,734623,738315,742201,746087,749973,753859,757744,761630,765516,769402,773288,777174,781264,785355,789445,793535,797626,801716,805807,809897,813987,818078,822383,826689,830995,835300,839606,843911,848217,852523,856828,861134,865666,870199,874731,879263,883795,888328,892860,897392,901925,906457,911228,915999,920770,925540,930311,935082,939853,944624,949395,954165,959187,964209,969231,974253,979275,984297,989319,994341,999363,1004385,1034552,1064718,1094884,1125051,1155218,1185384,1215550,1245717,1275884,1306050,1310796,1315541,1320287,1325032,1329778,1334524,1339269,1344015,1348760,1353506,1404895,1456284,1507673,1559062,1610452,1661841,1713230,1764619,1816008,1867397,1932498,1997600,2062701,2127802,2192904,2258005,2323106,2388207,2453309,2518410,2576199,2633987,2691776,2749565,2807354,2865142,2922931,2980720,3038508,3096297,3141137,3185977,3230817,3275657,3320496,3365336,3410176,3455016,3499855,3544695,3511912,3449497,3369673,3289943,3223173,3173425,3137652,3112958,3093820,3076098,3060036,3047249,3036420,3025982,3014917,3002161,2988117,2975029,2966108,2963496,2967984,2978339,2992192,3006154,
ATG,38140,38003,37866,37730,37593,37457,37320,37183,37047,36910,36774,36641,36509,36376,36244,36112,35979,35847,35714,35582,35449,35401,35352,35304,35255,35207,35158,35110,35061,35013,34964,35138,35311,35484,35658,35832,36005,36178,36352,36526,36699,36658,36617,36576,36535,36494,36453,36412,36371,36330,36289,36236,36184,36131,36078,36025,35973,35920,35867,35814,35762,35270,34778,34287,33795,33303,32812,32320,31828,31337,30845,30945,31044,31144,31243,31343,31442,31542,31641,31741,31840,32364,32887,33411,33934,34458,34982,35505,36029,36552,37076,37998,38921,39843,40766,41688,42611,43533,44456,45378,46301,47137,47972,48808,49644,50480,51315,52151,52987,53822,54658,56114,57569,59025,60480,61936,62623,63309,63996,64682,65369,66338,67205,67972,68655,69253,69782,70223,70508,70553,70301,69750,68950,67958,66863,65744,64605,63484,62538,61967,61906,62412,63434,64868,66550,68349,70245,72232,74206,76041,77648,78972,80030,80904,81718,82565,83467,84397,85350,86300,87233,88152,89069,89985,90900,
AUS,568579,632045,695512,758978,822445,885911,949377,1012844,1076310,1139777,1203243,1261878,1320513,1379147,1437782,1496417,1555052,1613687,1672321,1730956,1789591,1842932,1896273,1949614,2002955,2056296,2109636,2162977,2216318,2269659,2323000,2411547,2500093,2588640,2677186,2765733,2854280,2942826,3031373,3119919,3208466,3271432,3334397,3397363,3460329,3523294,3586260,3649226,3712192,3775157,3838123,3908277,3978431,4048585,4118739,4188894,4259048,4329202,4399356,4469510,4539664,4637452,4735240,4833028,4930816,5028604,5126392,5224180,5321968,5419756,5517544,5619822,5722100,5824378,5926656,6028934,6131211,6233489,6335767,6438045,6540323,6620600,6700877,6781154,6861431,6941708,7021984,7102261,7182538,7262815,7343092,7456933,7570774,7684616,7798457,7912298,8015251,8118205,8221158,8324112,8427065,8675029,8859130,9029064,9239138,9456325,9684162,9900220,10106834,10327479,10561457,10803588,11003531,11214037,11435046,11660398,11880264,12101641,12335469,12618559,12904760,13150591,13364238,13552190,13725400,13892674,14054956,14211657,14368543,14532401,14708323,14898019,15101227,15318254,15548591,15791043,16047026,16314778,16585905,16849253,17096869,17325818,17538387,17738428,17932214,18124770,18318340,18512971,18709175,18906936,19107251,19308681,19514385,19735255,19985475,20274282,20606228,20975949,21370348,21770690,22162863,22542371,22911375,23270465,23622353,
AUT,3879653,3909795,3939936,3970078,4000220,4030362,4060503,4090645,4120787,4150928,4181070,4216980,4252889,4288799,4324708,4360618,4396528,4432437,4468347,4504256,4540166,4582464,4624762,4667060,4709358,4751656,4793953,4836251,4878549,4920847,4963145,5008638,5054130,5099622,5145115,5190608,5236100,5281592,5327085,5372578,5418070,5476641,5535212,5593782,5652353,5710924,5769495,5828066,5886636,5945207,6003778,6068232,6132685,6197139,6261592,6326046,6390500,6454953,6519407,6583860,6648314,6624732,6601150,6577568,6553986,6530404,6506821,6483239,6459657,6436075,6412493,6438766,6465039,6491312,6517585,6543858,6570130,6596403,6622676,6648949,6675222,6675341,6675460,6675579,6675698,6675817,6675936,6676055,6676174,6676293,6676412,6702415,6728418,6754422,6780425,6806428,6840087,6873745,6907404,6941062,6974721,6975074,6967351,6972089,6979859,6986573,6992079,7005657,7027278,7054404,7087700,7126784,7170598,7216807,7265071,7312428,7363897,7419143,7457768,7483566,7509746,7543451,7573660,7598925,7617432,7628138,7630536,7625724,7616309,7605888,7597269,7591618,7588957,7589573,7593397,7600514,7610435,7623700,7642479,7669601,7706571,7755143,7813393,7874675,7929911,7972833,8000453,8015256,8023166,8032953,8050884,8078877,8114698,8155466,8196624,8234858,8269372,8301290,8331465,8361362,8391986,8423559,8455477,8486962,8516916,
