ISO,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,1.01636009235992,0.973713170767154,0.94739099773001,0.932553791057975,0.924051962673854,0.923763405124403,0.932772516284034,0.9470891661536,0.965802046479455,0.989496735604001,1.01593409895305,0.935473158299019,0.880641313858689,0.847358528748677,0.829780243795816,0.813070109198674,0.812453472878319,0.877314990296658,0.931967449133863,1.007228853905,1.01595444442208,0.8710528444094,1.09817150194629,1.15049535217884,1.24984537290851,1.10922195982234,1.15126854042451,1.16957484164771,1.12848468744998,0.998096052270813,1.01542601868086,1.11006921067734,1.23180523292839,1.42385009027403,1.77685729321903,2.1657008662965,2.73094548171501,3.8291246625519,5.7937338439324,11.2109788836692,1,1
AFG,0.971538194149109,0.912125547605589,0.881347357900381,0.96686857956253,1.0026480146601,1.03509078842596,1.06320576880131,0.967918927811312,1.01688711517259,0.985815455596577,0.968368043385457,1.07471881811107,1.16400073242287,1.19191635960787,1.15759471957294,1.11513405674008,1.20027701292468,1.00465253729961,0.930617571811686,0.94707375325381,0.950279262634855,0.95613633193426,0.904071303637199,0.803988100035942,0.73921921279913,0.902576864264512,0.930398958943736,0.951648523913316,0.969057119516311,0.989176740638898,0.980002695245263,0.792744999636729,0.892491616519133,0.901664789457254,0.872649133538422,0.914762086769399,0.904711029807857,0.939814770185288,0.902838812861157,1,1,1
AGO,1.00020854214085,1.05861888993824,1.05991130273266,1.14574419067873,1.18395588545747,1.11664535088076,1.05677375171353,1.06838303572684,1.01190541043389,1.02644408378852,0.999958012832252,0.952243575244868,0.923543468913106,0.924294604809096,1.00091584601138,0.952265391013149,0.9311896406225,1.0315022954281,0.989851889379458,0.980977736350998,1.00149139044047,1.05085110212799,1.08483707516996,0.751786985148352,0.853332723324631,0.971960287998769,1.0743109145094,1.16945296899106,0.981681030189039,1.25655347556295,1.00219101428148,0.806998481482868,0.847068741976983,0.767438720086344,0.764741740622228,0.863372237658531,0.963485777936167,1.03441315693213,1.12010718679806,0.914821397623028,1.10590204903917,1.12287825790039
AIA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALB,1.00112076701661,0.992895095722077,0.987117284917517,0.983302504868347,0.981296918533974,0.981421497033484,0.982345160272616,0.984538561210912,0.99038201535947,0.993207485218993,0.998900952463772,1.02350523832493,1.02418081709281,1.02087901110121,0.972058991956346,0.961153317695972,0.996116920798902,0.967354939916461,0.923045100614808,0.998450526775954,1.00065695297717,0.563240006142737,0.423883836167647,0.543724270829966,0.691576730127924,0.759942795086727,0.898261599041538,0.816122425060977,0.827914768909025,0.964138120325247,0.998832795588726,0.960541858294763,0.901565911345681,0.893747297244066,0.891079122950632,0.865298089647198,0.872108965968699,0.86977632039238,0.904308943612079,0.906758354660285,0.871566494616416,0.851051218650131
AND,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARE,1.04435049920093,0.957737165609169,0.861605002491416,0.849097570135836,0.835498451466919,0.867710872124867,0.92938158179923,0.990139735482634,0.835331324300763,0.921434482023028,1.04588519710021,0.990897946354402,0.914739524371061,0.881372037012096,0.93586675206358,0.881683489891968,0.722935753681705,0.745094584760292,0.733634403145935,0.849545344781116,1.04821533424715,0.998980030585598,0.984000178103696,0.777369020127207,0.771943369981235,0.821221315156288,0.850082199600166,0.877888661146116,0.771063863939954,0.836074319815496,1.04543293332611,0.944555103445612,0.930224904194514,0.960397652470161,0.999928830754911,1.08697978528003,1.2194896725362,1.2725579895006,1.34037567136464,1.09325455648278,1.08059618595003,1.16993148525091
ARG,0.999759678804242,1.01951202757987,1.00837700611067,1.02929169256203,1.03766789110716,0.986040090401705,0.954562103370772,0.967368598153,0.91208281708371,0.970425967075083,0.999176329643456,0.938981462686474,0.902225618469374,0.939791594705819,0.953812949215493,0.873243011155294,0.956987824203822,0.984604009100985,0.999561048040443,0.942302565885856,1.00217556252456,1.03051002189814,1.07087393672218,1.10086215261308,1.16773252688866,1.17786891230368,1.41055565053593,1.34844177794619,1.2554016709123,1.0943881328709,1.00295064976683,0.895488964461313,0.806489412848021,0.815429563386619,0.830798876647885,0.854918687649643,0.89965761476112,0.943763713698572,0.986197492756167,0.959620059045475,1.01352599384811,1.05978883245339
ARM,0.992512808055703,0.998560316608657,0.984690090747912,1.04756022253482,1.04958841708614,1.02529276536545,1.04614259050563,1.04427656947029,1.04479820002462,1.01527048305666,0.99318754971984,1.00604895062524,1.03425422494337,1.07049846895619,1.08638639566583,1.09856574321513,1.1464922417529,1.16404515764974,1.19218248689873,1.21687372258881,0.97904846302371,1.15636152570215,0.762879180713254,0.630915498441144,0.672680134237625,0.694776051896933,0.776154516910116,0.771588193925841,0.831216006173767,0.891381079257923,0.993567221849344,0.987000333568654,1.01544961750861,1.05764610946843,1.07932174876126,1.1336920262697,1.18236806797359,1.24939021147397,1.2153507106691,0.987444180370156,0.97144085235583,0.976519940350632
ASM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATG,1.00507779400225,1.03647654206952,1.06857730751217,1.11592649314697,1.11374357203933,1.01108599987713,0.894980194164177,0.932381359354565,0.913442141771623,1.02216350173333,1.00467755284698,0.948784037852986,0.908745575704402,0.970450221254995,0.91721292473523,0.91305069749257,0.92422208176967,0.915882331108101,1.00817770627356,1.00380906022404,1.00504729872644,0.971523864541236,0.967071514159734,0.999531589146741,1.01719781607071,0.93597264416305,0.948898065954728,0.971445492555671,1.00108243449125,1.01604604947147,1.00469170535594,1.12585041629629,1.3291634865357,1.52084271134102,1.84810110353566,2.23977026013135,2.97450259025538,4.37455243665073,6.80890572710719,12.4688165086469,1,1
AUS,1.00063851110985,0.998823952579386,1.01287524379929,1.06184510980359,0.998532723767287,0.971213999482268,0.981908361101233,0.961404885314428,0.98484517657575,0.993925293823031,1.0015081619345,1.00835462131409,0.944729915745487,0.963151457072919,0.966900107389976,0.960670235362545,0.947314379296183,0.989500069375652,1.03065227111613,1.04224185572535,1.00206978672844,0.959704948572406,0.955548342072624,0.955328717882217,0.968502093247061,0.979643380933632,0.986278195102171,0.997386630696615,1.00522149033143,1.02091189563156,1.0024244090969,1.00946552446816,1.01164085861271,1.02538771106456,1.02931954675295,1.03521580056603,1.04173278123949,1.04780873246801,1.03200864057181,1.02289046464797,1.06007719073436,1.06361550874015
AUT,0.992538828348804,1.00747866962994,1.03703045965594,1.06103550892976,1.05073970003496,1.02434389929566,1.02255124270794,1.03315965767993,1.00356448943486,1.01410596351234,0.991545701080108,0.946362896322326,0.920958084344229,0.910259966939678,0.880441211799862,0.870594103262536,0.886487232883401,0.897957636433046,0.926226495852885,0.959287901479766,0.997866066251865,1.0063880771323,0.999167094396143,0.977166669706822,0.98645964193093,0.999441068713182,0.98056526946674,0.977382760841253,0.99575822896769,0.998378855898293,0.999079964198634,0.969061563053645,0.979689612938786,0.969946467186802,0.986189966673882,0.977184741625056,1.01367030383133,1.040754796763,1.05032366194059,1.01415132433722,1.04204675643735,1.04314089907082
AZE,1.01372225141127,1.01693124452215,0.999987531457285,1.0609449439211,1.06391136540977,1.04026633710685,1.06251257723893,1.06179241168696,1.06358051815427,1.03482112031574,1.01365552124926,1.01992544635196,1.04144666413564,1.07060080513463,1.07902136471075,1.08355105652954,1.12307146899875,1.13237954418469,1.15166078436627,1.16724397830967,1.01345979247787,1.31406620611587,0.976720031419438,0.867273680412119,0.675287566001517,0.496348109329579,0.528594204538662,0.57150833655382,0.607633164595877,0.737341199415144,1.00523890595299,0.852732609669447,0.696853298566004,0.619946513330711,0.575837807447862,0.724684323380278,0.909179839056194,1.06794086915076,1.21480773892465,0.938895780535908,0.99704696057792,1.02420233559348
BDI,0.991164731531219,0.982788072155127,0.870847268805552,0.929905425172125,0.900798758841214,0.8254968050645,0.964276318556785,1.0947760663544,0.998479359451793,0.989061430868993,0.98647591309139,1.02422627461258,0.936990924252775,0.943997533445322,0.954803127077338,1.03469596692754,1.088294098719,1.05241620399881,0.982535322756473,1.05263456322028,0.990415840556256,0.974427598362285,0.909908475845633,0.903308120835159,0.89397892753623,0.831638842350672,0.83037721862052,1.05068390237628,0.998927444069235,1.01021569856807,0.997567439858482,1.01439687628836,1.01967178310191,1.04214991473487,1.09669258428049,1.03470728660217,1.05069859201888,1.06469165686414,1.35142613301384,1.19488882866014,1.24157911780315,1.23543498582149
BEL,1.01250007960248,0.999309140267282,1.01884502685552,1.05090799518728,1.04347958296288,0.983754474526185,1.00959513532793,0.994663614885241,0.998842754685775,1.00144980419822,1.00764603352807,0.930595917484271,0.889032083154427,0.85078409284429,0.841671139664064,0.823082273857932,0.855938798749856,0.880155274808998,0.938219198468734,0.98214937132536,1.01037824184356,0.991921615653982,0.988099280693074,0.96020527560386,0.964466374604646,0.965967760748985,0.937671224102266,0.961437808759957,0.963139481655946,0.971891328654345,1.00692633372364,1.00561213990911,1.02290489198151,0.990896536693117,0.997117636110046,0.993188792042822,1.01531750596713,1.05165107946115,1.06977790253949,1.04596488806235,1.09279420430751,1.09031247100296
BEN,0.978313360201952,0.972023214299809,1.00714343155441,1.03608040770107,1.03764455649054,0.921363887669767,0.911226898086768,0.929732939291931,0.892250794662527,0.913152137257621,0.976349434724051,1.01636143033795,1.05112802002631,1.09105162734986,1.18510745609241,1.21894747620577,1.17689461888891,1.08297662482092,1.06626556209794,0.986343265919705,0.992861032390129,0.968430965144226,0.925862075474652,0.902359460290122,0.829761365706869,0.862791246790217,0.880516344931012,0.908669058002496,0.918402503638411,0.955717713282848,1.00081825274493,1.01560267625255,1.04752855424935,1.09931916088854,1.12724002857499,1.13770521494139,1.1464840500609,1.15101626599624,1.16825184101155,1.15458292990075,1.13929186347987,1.11789267247003
BFA,0.993029987610365,0.938382996945794,1.05496896620941,0.962072267064351,0.976627048401974,0.941804549469946,0.910663363912427,0.945847572648805,1.00707001655228,1.04218630945126,0.996815626223996,1.02614986344484,0.993704622078149,0.908433479536991,0.898790349259783,0.975489064575332,1.0218874056911,0.992095878124229,1.031351367893,1.01840630327815,0.998305551967217,1.02178696544001,0.970017771676804,0.954748706038233,0.866227330423494,0.871468123249016,0.924734907188073,0.942439734907831,0.995309395261287,1.02344188937205,0.999212434184166,0.984127660680176,0.961252109811781,0.970278997052388,0.954573379652909,0.965513684731428,0.968587808945369,0.951251073168723,0.961289503431272,0.961041067570368,1.04268013277921,1.02217529866387
BGD,1.01127974797713,0.996252361265315,0.95164900365816,0.803840722465731,0.811546322318897,0.783664055230531,0.88612429756389,0.928163795185242,0.954340480211052,1.0145850984737,1.00990956962675,0.984525794726616,0.936504396612933,0.921561539752267,0.968451004040846,0.967854565974054,0.959179587144217,0.935624159967769,0.934655319452007,1.00569728989073,1.01076320632415,1.03227314514854,1.03302030024029,1.04089043954428,1.06653545934221,1.08329382047322,1.08611526059635,1.06404185270527,1.04829160899325,1.01896116448744,1.00837301887282,0.999097230552098,1.00733855049178,1.00593501139896,1.00612859799218,1.01103390708214,1.03673096692265,1.07780029661774,1.09820735769597,1.12947619296763,1.16603576381847,1.12642231662541
BGR,0.989431275532024,0.965828673852271,0.956699782391054,0.95857498150455,0.959543217809076,0.976613600985833,0.978563921345881,0.978418241244459,0.977406390948268,0.995171101072789,0.987454407940306,1.00861983979521,1.02243179163054,1.04324399690717,1.03770755026199,1.05888191240547,1.05770291850653,1.08562445702565,1.15721489670156,1.0961117720239,0.990889128708758,1.1481335871324,0.973611407507678,0.898617032086601,0.9071592458611,0.927909121957977,0.829859961440117,0.791159292648379,0.874345298448706,0.918001932975908,0.987943717820227,0.973530691375953,0.991354012672327,0.96609879748652,0.964892168989518,0.940280808489504,0.980525293151684,1.03935890839388,1.08811602095917,1.05795462473499,1.06114497652575,1.04515579654995
BHR,1.01766003649527,0.921525403879516,0.927541593474524,0.920675219466987,0.898614732854459,0.798356491500628,0.96244615631072,0.941645155396777,0.844492082083584,0.92239712260301,1.01571363455696,0.977957796685636,0.923133855554521,0.931199342364391,1.01695689798276,0.810393983152804,0.764815199221358,0.754279767893251,0.85627733514255,0.911592094243725,1.01487070967045,0.942744449565893,0.944532249096035,0.891998857256015,0.907058469841156,0.815359188985519,0.763805454425451,0.757550117697073,0.726460241345785,0.793783032601685,1.01386320134209,0.9742473365578,1.06482392412022,1.22689244629373,1.37514567210593,1.60152650040891,1.68072291658658,1.6547559508041,1.51721914654929,1.30640377022425,1.28580622502626,1.19784471279052
BHS,1.02530992092636,0.961372776420571,0.885881472297542,0.883279957063733,0.670468740533304,0.604619606728125,0.620011299415092,0.698409816371562,0.780301705822838,1.05749994149293,1.02135273339726,0.925746248013204,0.836334463660952,0.761515000328197,0.898626981526562,0.98229555091777,0.995117699786868,0.982501234120769,0.988138768133247,1.04142324101835,1.01894495075093,0.907255442864738,0.849163428884975,0.810629170195742,0.813261202808541,0.809880486864659,0.902370310821086,0.914033375570317,0.971487642046079,1.0190294735831,1.01742816779549,0.973388658577082,1.03805378868632,0.981652260284913,0.938238342253607,0.965538251939458,0.934219099688863,0.948360492099343,0.891138484935392,0.798349834232391,0.773886016844799,0.730578198849987
