ISO,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AGO,1.0,1.0,1.0,1.0,1.0,1.0,1.35726262020304,1.7138710817167748,2.091965153322924,2.4560072367409362,2.826309918932644,3.2375220035189742,3.6896281020432005,4.150131788239994,4.651087079495959,5.158145102262348,5.299023053091304,5.474053982200429,5.63894988411153,5.7956573260526945,5.916462984560951,5.97340675352964,5.966259528287955,5.913495781339005,5.788256158669514,5.647497729866214,5.512292586111185,5.35533552096874,5.25723887913861,5.383952217881649,5.5573471208549865,5.688488259914839,5.815194427365552,5.959823742780946,6.153404936755611,6.366256282072487,6.554279658466238,6.7009064103015135,6.693152494523579,6.466710255648707,6.17751115337398,5.901061278391279,5.618662633229189,5.32090998347115,4.98980684437679,4.667591449456434,4.373548462301418,4.115890664045082,3.9763902757065512,3.8221632786356903,3.689180687871396,3.5992989397963417
AIA,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ALB,1.0,1.0,1.0,1.0,1.0,1.0,1.1646936554927918,1.3449784516844339,1.5391002903131272,1.7457181490570597,1.963881207716269,2.192168185869435,2.4298448522214655,2.6764402779616496,2.929362601038252,3.1894098376506763,3.292329681204889,3.3778240572031897,3.4600020954656543,3.5454077829352344,3.6445975880806096,3.742321709952725,3.823896964885006,3.915390215273071,4.021462512897798,4.094264251451314,4.223148451313683,4.530532004768552,4.861418704716907,5.108942685020191,5.284666432988801,5.385730956426059,5.456038482028656,5.564944839169109,5.6074082740204,5.620879831119361,5.548713483682849,5.277398970611236,4.96462462298053,4.709405153092664,4.492738616142332,4.335398520136299,4.208834548492566,4.0181652744232945,3.861665652557339,3.761867760157851,3.681730025869798,3.6261844328259842,3.590858004019085,3.559305183735308,3.530048674521976,3.5021642411814597
AND,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ANT,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ARE,1.0,1.0,1.0,1.0,1.0,1.0,1.151404837339977,1.2856672042076496,1.408076822210513,1.5127944937502071,1.597716094849617,1.694804848273579,1.7900369786749546,1.8848067644667021,2.018394589190183,2.131729472624963,2.068171973198954,2.033342000960841,2.045852192152535,2.1070221062301813,2.193631117111601,2.286875697812047,2.4634847803825446,2.6268656960746135,2.768430896119489,2.893567315403403,3.001116617883514,3.1035339581496344,3.171945371456977,3.2093157754201123,3.2226760225753863,3.201680921025718,3.0905204504968937,2.978727379395443,2.8523107560424075,2.7583104973508954,2.6865921596856652,2.6107449582955615,2.5336433274332206,2.444081423579024,2.3594147938609087,2.2874908559014018,2.2139234382210047,2.1618788515893805,2.112977734395943,2.09256334378863,2.0992879465488636,2.1012343783124257,2.0833386518587407,2.076635876183235,2.0872635307551426,2.1061169615222783
ARG,2.2734689451914383,2.2658898901547353,2.272286058978397,2.281325031287749,2.2881850478274535,2.2897935305283568,2.312897859539654,2.338399736916892,2.3674606333726653,2.387294154106413,2.4137424454694347,2.4634649562383477,2.519258021195295,2.572463992983764,2.648774629717907,2.7221709226828823,2.797359287531939,2.8929820069124497,2.994541138401071,3.0842363710887537,3.1724218932446475,3.2747455732613,3.341174938847078,3.403541725341266,3.454644876864621,3.540461995017691,3.6200623501949543,3.6366466294043414,3.6101625202990055,3.583434279677779,3.5524979030295847,3.5108621949835515,3.482075040975979,3.4432047762284173,3.3924462508854516,3.3327628507230687,3.2784522370733185,3.278060712766044,3.3445487670778697,3.38926514743953,3.4165630542510725,3.4076402878765393,3.3935920752129958,3.379956615062734,3.367976616854379,3.3631866005230813,3.3302965071540904,3.2737621430781707,3.19473637035528,3.134480888482993,3.0915582470417897,3.0663393251118873
ARM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0403301472812565,1.1046892459418916,1.2823057428757816,1.4796721170337688,1.659562043500309,1.8184014217456035,1.961198948926307,2.0951702922952555,2.213249363671273,2.324774260180732,2.385318526702249,2.4056151801637133,2.2917173042166494,2.142609261474745,2.002459148308424,1.8735738426495026,1.7552854739160229,1.6412405131466052,1.5463307716558936,1.4865159177218523,1.441547111641651,1.4114716135712104,1.3863922139826494,1.3743683264603768,1.3710783540972606,1.3830012921361823
